Date,Not indexed,Indexed,Impressions
2025-12-12,,,206
2025-12-13,,,249
2025-12-14,,,308
2025-12-15,782,130,306
2025-12-16,823,84,314
2025-12-17,823,84,344
2025-12-18,823,84,396
2025-12-19,823,84,318
2025-12-20,823,84,242
2025-12-21,823,84,263
2025-12-22,823,84,270
2025-12-23,823,84,296
2025-12-24,833,52,302
2025-12-25,833,52,275
2025-12-26,833,52,230
2025-12-27,833,52,205
2025-12-28,833,52,227
2025-12-29,833,52,314
2025-12-30,833,52,299
2025-12-31,833,52,256
2026-01-01,833,52,302
2026-01-02,833,52,272
2026-01-03,833,52,255
2026-01-04,823,52,272
2026-01-05,823,52,277
2026-01-06,823,52,299
2026-01-07,815,52,338
2026-01-08,815,52,394
2026-01-09,815,52,332
2026-01-10,815,52,300
2026-01-11,815,52,281
2026-01-12,815,52,391
2026-01-13,815,52,331
2026-01-14,799,54,358
2026-01-15,799,54,313
2026-01-16,799,54,334
2026-01-17,799,54,302
2026-01-18,800,48,341
2026-01-19,800,48,301
2026-01-20,800,48,278
2026-01-21,745,60,315
2026-01-22,745,60,336
2026-01-23,745,60,360
2026-01-24,745,60,233
2026-01-25,742,59,226
2026-01-26,742,59,305
2026-01-27,742,59,320
2026-01-28,739,59,314
2026-01-29,739,59,310
2026-01-30,739,59,322
2026-01-31,739,59,275
2026-02-01,734,58,350
2026-02-02,734,58,356
2026-02-03,734,58,291
2026-02-04,713,58,326
2026-02-05,713,58,266
2026-02-06,713,58,396
2026-02-07,713,58,200
2026-02-08,700,56,259
2026-02-09,700,56,302
2026-02-10,700,56,215
2026-02-11,667,55,233
2026-02-12,667,55,251
2026-02-13,667,55,210
2026-02-14,667,55,158
2026-02-15,573,53,196
2026-02-16,573,53,210
2026-02-17,573,53,184
2026-02-18,563,50,184
2026-02-19,563,50,161
2026-02-20,563,50,200
2026-02-21,563,50,221
2026-02-22,547,48,289
2026-02-23,547,48,283
2026-02-24,547,48,268
2026-02-25,534,44,382
2026-02-26,534,44,307
2026-02-27,534,44,301
2026-02-28,534,44,237
2026-03-01,534,44,267
2026-03-02,534,44,367
2026-03-03,534,44,272
2026-03-04,540,44,257
2026-03-05,540,44,228
2026-03-06,540,44,256
2026-03-07,540,44,239
2026-03-08,531,42,145
2026-03-09,531,42,261
2026-03-10,531,42,
